0201;0201
0201;0201
0202;0202
0203;0203
0204;0204
0205;0205
0206;0206
0207;0207
0208;0208
0209;0209
0210;0210
0211;0211
0212;0212
0213;0213
0214;0214
0215;0215
0216;0216
0217;0217
0218;0218
0219;0219
0220;0220
0301;0301
0302;0302
0303;0303
0304;0304
0305;0305
0306;0306
0307;0307
0308;0308
0309;0309
0310;0310
0311;0311
0312;0312
0313;0313
0314;0314
0315;0315
0316;0316
0317;0317
0318;0318
0319;0319
0320;0320
0401;0401
0402;0402
0403;0403
0404;0404
0405;0405
0406;0406
0407;0407
0408;0408
0409;0409
0410;0410
0411;0411
0412;0412
0413;0413
0414;0414
0415;0415
0416;0416
0417;0417
0418;0418
0419;0419
0420;0420
0501;0501
0502;0502
0503;0503
0504;0504
0505;0505
0506;0506
0507;0507
0508;0508
0509;0509
0510;0510
0511;0511
0512;0512
0513;0513
0514;0514
0515;0515
0516;0516
0517;0517
0518;0518
0519;0519
0520;0520
0601;0601
0602;0602
0603;0603
0604;0604
0605;0605
0606;0606
0607;0607
0608;0608
0609;0609
0610;0610
0611;0611
0612;0612
0613;0613
0614;0614
0615;0615
0616;0616
0617;0617
0618;0618
0619;0619
0620;0620
0701;0701
0702;0702
0703;0703
0704;0704
0705;0705
0706;0706
0707;0707
0708;0708
0709;0709
0710;0710
0711;0711
0712;0712
0713;0713
0714;0714
0715;0715
0716;0716
0717;0717
0718;0718
0719;0719
0720;0720
0801;0801
0802;0802
0803;0803
0804;0804
0805;0805
0806;0806
0807;0807
0808;0808
0809;0809
0810;0810
0811;0811
0812;0812
0813;0813
0814;0814
0815;0815
0816;0816
0817;0817
0818;0818
0819;0819
0820;0820
0901;0901
0902;0902
0903;0903
0904;0904
0905;0905
0906;0906
0907;0907
0908;0908
0909;0909
0910;0910
0911;0911
0912;0912
0913;0913
0914;0914
0915;0915
0916;0916
0917;0917
0918;0918
0919;0919
0920;0920
1001;1001
1002;1002
1003;1003
1004;1004
1005;1005
1006;1006
1007;1007
1008;1008
1009;1009
1010;1010
1011;1011
1012;1012
1013;1013
1014;1014
1015;1015
1016;1016
1017;1017
1018;1018
1019;1019
1020;1020
1101;1101
1102;1102
1103;1103
1104;1104
1105;1105
1106;1106
1107;1107
1108;1108
1109;1109
1110;1110
1111;1111
1112;1112
1113;1113
1114;1114
1115;1115
1116;1116
1117;1117
1118;1118
1119;1119
1120;1120
1201;1201
1202;1202
1203;1203
1204;1204
1205;1205
1206;1206
1207;1207
1208;1208
1209;1209
1210;1210
1211;1211
1212;1212
1213;1213
1214;1214
1215;1215
1216;1216
1217;1217
1218;1218
1219;1219
1220;1220
1301;1301
1302;1302
1303;1303
1304;1304
1305;1305
1306;1306
1307;1307
1308;1308
1309;1309
1310;1310
1311;1311
1312;1312
1313;1313
1314;1314
1315;1315
1316;1316
1317;1317
1318;1318
1319;1319
1320;1320
1401;1401
1402;1402
1403;1403
1404;1404
1405;1405
1406;1406
1407;1407
1408;1408
1409;1409
1410;1410
1411;1411
